Source,Severity,Theme,Verbatim Quote
Support Note,Medium,Integration issues,"""Does it integrate with our existing CRM? If not, it\'s a dealbreaker."""
Support Note,Low,Security concerns,"""Is your platform compliant with [specific regulation]?"""
Contact Form,Low,Complicated onboarding process,"""Is there a guided onboarding or training available?"""
Support Note,High,Pricing too high,"""We found a competitor with similar features at a lower cost."""
Contact Form,High,Integration issues,"""Does it integrate with our existing CRM? If not, it\'s a dealbreaker."""
CRM Log,Low,Security concerns,"""What are your data privacy and security protocols?"""
Support Note,Medium,Unclear value proposition,"""The benefits aren\'t clear enough for our use case."""
Support Note,High,Performance issues,"""How does the system handle large volumes of data?"""
Support Note,High,Lack of features,"""We\'re looking for something with more advanced analytics."""
Support Note,Medium,Security concerns,"""What are your data privacy and security protocols?"""
Support Note,Low,Performance issues,"""We\'ve experienced slowdowns with similar cloud-based solutions."""
CRM Log,Medium,Complicated onboarding process,"""The setup process looks really daunting."""
Support Note,Medium,Lack of features,"""We\'re looking for something with more advanced analytics."""
CRM Log,Low,Integration issues,"""We\'ve had trouble integrating similar tools in the past."""
Contact Form,Low,Pricing too high,"""The monthly subscription feels overpriced for what\'s included."""
Support Note,Medium,Pricing too high,"""The monthly subscription feels overpriced for what\'s included."""
CRM Log,Medium,Complicated onboarding process,"""Is there a guided onboarding or training available?"""
CRM Log,High,Performance issues,"""How does the system handle large volumes of data?"""
Contact Form,Medium,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
CRM Log,High,Competitor preference,"""[Competitor Name] offers a specific benefit we value highly."""
Support Note,Medium,Security concerns,"""Our legal team has strict requirements for data handling."""
CRM Log,Medium,Poor customer support,"""Getting help seems difficult once you\'re a customer."""
Support Note,High,Complicated onboarding process,"""The setup process looks really daunting."""
CRM Log,Medium,Unclear value proposition,"""The benefits aren\'t clear enough for our use case."""
CRM Log,Medium,Security concerns,"""Our legal team has strict requirements for data handling."""
Contact Form,Low,Competitor preference,"""We\'ve been using [Competitor Name] for years and are reluctant to switch."""
Contact Form,High,Pricing too high,"""We found a competitor with similar features at a lower cost."""
Support Note,Medium,Security concerns,"""What are your data privacy and security protocols?"""
CRM Log,Medium,Unclear value proposition,"""I\'m not entirely sure how this will solve our specific problem."""
Contact Form,High,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
Support Note,Low,Unclear value proposition,"""I\'m not entirely sure how this will solve our specific problem."""
Contact Form,Low,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
